"age","job","marital","education","default","balance","housing","contact","duration","campaign","pdays","previous","poutcome","signedup","Year","Date"
74,"retired","married","primary","no",5539,"no","cellular",253,2,181,1,"success",0,2018,2018-01-01
37,"blue-collar","married","secondary","no",934,"no","unknown",258,2,-1,0,"unknown",0,2018,2018-01-01
35,"management","married","tertiary","no",925,"no","cellular",200,4,-1,0,"unknown",1,2018,2018-01-01
29,"management","single","tertiary","no",265,"no","cellular",130,2,94,1,"success",1,2018,2018-01-01
51,"services","married","secondary","no",276,"no","cellular",217,2,-1,0,"unknown",0,2018,2018-01-01
46,"services","married","tertiary","no",474,"no","unknown",445,2,-1,0,"unknown",0,2018,2018-01-01
46,"blue-collar","married","primary","no",642,"no","unknown",110,4,-1,0,"unknown",0,2018,2018-01-01
31,"student","single","unknown","no",643,"no","cellular",82,4,-1,0,"unknown",0,2018,2018-01-01
57,"entrepreneur","married","secondary","no",9902,"no","cellular",88,3,-1,0,"unknown",0,2018,2018-01-01
48,"technician","married","secondary","no",427,"no","unknown",201,1,-1,0,"unknown",0,2018,2018-01-01
59,"retired","married","tertiary","no",941,"no","cellular",231,1,210,1,"failure",0,2018,2018-01-01
31,"admin.","divorced","secondary","no",2980,"no","cellular",930,4,292,2,"other",0,2018,2018-01-01
32,"management","single","tertiary","no",26,"no","cellular",55,6,-1,0,"unknown",0,2018,2018-01-01
55,"management","married","tertiary","no",913,"no","unknown",462,5,-1,0,"unknown",0,2018,2018-01-01
35,"unemployed","married","secondary","no",978,"no","cellular",1370,3,209,3,"success",1,2018,2018-01-01
53,"technician","married","secondary","no",1738,"no","cellular",168,2,-1,0,"unknown",0,2018,2018-01-01
27,"blue-collar","single","tertiary","no",644,"no","cellular",657,1,182,1,"success",1,2018,2018-01-01
47,"management","married","secondary","no",2892,"no","unknown",556,1,-1,0,"unknown",1,2018,2018-01-01
34,"management","married","tertiary","no",158,"no","cellular",278,2,132,4,"failure",1,2018,2018-01-01
42,"management","married","tertiary","no",976,"no","cellular",164,1,-1,0,"unknown",1,2018,2018-01-01
36,"technician","married","secondary","no",465,"no","cellular",85,1,-1,0,"unknown",0,2018,2018-01-01
41,"management","married","tertiary","no",-195,"no","cellular",112,1,-1,0,"unknown",0,2018,2018-01-01
32,"management","married","tertiary","no",322,"no","cellular",101,1,-1,0,"unknown",0,2018,2018-01-01
45,"services","married","secondary","yes",144,"no","cellular",95,8,-1,0,"unknown",0,2018,2018-01-01
31,"management","single","tertiary","no",2915,"no","cellular",228,1,86,1,"failure",0,2018,2018-01-01
39,"technician","married","tertiary","no",206,"no","cellular",148,2,195,2,"success",1,2018,2018-01-01
53,"unemployed","married","primary","no",845,"no","cellular",123,2,-1,0,"unknown",0,2018,2018-01-01
38,"management","single","tertiary","no",0,"no","cellular",95,2,-1,0,"unknown",0,2018,2018-01-01
50,"admin.","married","secondary","no",761,"no","cellular",273,3,-1,0,"unknown",0,2018,2018-01-01
82,"housemaid","married","primary","no",2140,"no","telephone",118,6,-1,0,"unknown",0,2018,2018-01-01
43,"blue-collar","married","secondary","no",184,"no","cellular",1019,11,-1,0,"unknown",1,2018,2018-01-01
51,"technician","married","secondary","no",117,"no","cellular",467,2,88,4,"other",1,2018,2018-01-01
30,"technician","single","secondary","no",9645,"no","cellular",130,10,-1,0,"unknown",0,2018,2018-01-01
38,"blue-collar","married","secondary","no",0,"no","unknown",361,1,-1,0,"unknown",0,2018,2018-01-01
31,"management","single","tertiary","no",617,"no","cellular",1161,1,97,2,"success",1,2018,2018-01-01
32,"technician","single","tertiary","no",388,"no","cellular",250,3,-1,0,"unknown",1,2018,2018-01-01
46,"blue-collar","married","secondary","no",6215,"no","unknown",155,1,-1,0,"unknown",0,2018,2018-01-01
28,"management","single","tertiary","no",1,"no","cellular",86,11,-1,0,"unknown",0,2018,2018-01-01
29,"unemployed","single","secondary","no",323,"no","cellular",151,1,-1,0,"unknown",0,2018,2018-01-01
56,"retired","married","primary","no",842,"no","unknown",108,1,-1,0,"unknown",0,2018,2018-01-01
38,"management","married","tertiary","no",1223,"no","cellular",1092,5,-1,0,"unknown",1,2018,2018-01-01
41,"unemployed","married","secondary","no",5608,"no","cellular",64,2,-1,0,"unknown",0,2018,2018-01-01
32,"technician","married","secondary","no",0,"no","cellular",750,3,-1,0,"unknown",0,2018,2018-01-01
28,"entrepreneur","single","tertiary","no",16,"no","cellular",48,1,-1,0,"unknown",0,2018,2018-01-01
44,"services","divorced","secondary","no",0,"no","cellular",275,17,-1,0,"unknown",0,2018,2018-01-01
56,"management","married","tertiary","no",0,"no","unknown",422,1,-1,0,"unknown",1,2018,2018-01-01
33,"blue-collar","married","primary","no",496,"no","cellular",151,1,-1,0,"unknown",0,2018,2018-01-01
52,"management","divorced","tertiary","no",590,"no","unknown",354,5,-1,0,"unknown",0,2018,2018-01-01
56,"blue-collar","married","primary","no",284,"no","telephone",124,4,204,4,"failure",0,2018,2018-01-01
30,"services","divorced","secondary","no",21,"no","cellular",49,1,-1,0,"unknown",0,2018,2018-01-01
30,"admin.","single","unknown","yes",1,"no","unknown",307,1,-1,0,"unknown",0,2018,2018-01-01
54,"management","divorced","tertiary","no",380,"no","cellular",501,1,188,2,"success",0,2018,2018-01-01
29,"student","single","secondary","no",48,"no","cellular",51,1,-1,0,"unknown",0,2018,2018-01-01
36,"management","married","tertiary","no",324,"no","cellular",104,4,-1,0,"unknown",0,2018,2018-01-01
52,"blue-collar","married","primary","no",2,"no","unknown",70,3,-1,0,"unknown",0,2018,2018-01-01
31,"unemployed","married","secondary","no",20,"no","telephone",52,1,-1,0,"unknown",0,2018,2018-01-01
29,"unemployed","single","tertiary","no",70,"no","cellular",393,1,-1,0,"unknown",1,2018,2018-01-01
